Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
60.3,-0.09935548305511474,3.4009802508492557,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
55.9,-0.077697491645813,3.5103022978402048,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
54.5,-0.14374446868896484,2.8771127502720115,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
50.7,-0.09168870449066162,1.9465068427541912,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
44.6,-0.10231800079345703,1.2649110640673515,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
63.2,-0.09628856182098389,0.6324555320336753,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-0.100388503074646,0.0,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
58.1,-0.0805126667022705,0.31622776601683905,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,-0.07722771167755127,0.0,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
65.3,-0.06912126541137695,0.4830458915396485,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.2,-0.08289313316345215,0.42163702135578307,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,-0.084228515625,0.0,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.0,-0.08304100036621094,0.0,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.1,-0.14182493686676026,0.3162277660168376,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
69.1,-0.09787452220916748,3.3813212407775346,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
62.2,-0.17158935070037842,3.7653389990514494,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
52.8,-0.1073843240737915,3.457680661303984,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
69.4,-0.00014035701751708985,3.7178249316263177,25,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
63.5,-0.00015799999237060548,2.173067468400883,25,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
57.5,-0.00018362998962402345,2.2730302828309767,25,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
70.0,-0.04863691329956055,5.2068331172711035,25,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
60.2,-0.01597602367401123,3.7653389990514508,25,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
52.8,-0.17227962017059326,3.9944405810520647,25,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
71.0,-2.4568513870239257,0.0,25,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
65.0,-2.3683417558670046,0.0,25,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-2.4939852952957153,0.0,25,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
68.0,-2.4327060699462892,0.0,25,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
66.0,-2.559644174575806,0.0,25,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-2.471561241149902,0.0,25,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
62.0,-0.473384428024292,0.0,25,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-0.49786105155944826,0.0,25,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-0.42907302379608153,0.0,25,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
71.9,-6.744500613212585,3.142893217686179,25,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
67.1,-6.65568699836731,2.5144029554194804,25,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
55.6,-6.810976886749268,3.7771241264574114,25,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
68.8,-0.08960902690887451,3.9101008796307153,25,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
63.0,-0.09935548305511474,3.0184617127124724,25,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
58.0,-0.077697491645813,3.9157800414902426,25,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
57.4,-0.14374446868896484,4.115013163202923,25,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
53.4,-0.09168870449066162,3.204163957519445,25,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
46.6,-0.10231800079345703,2.547329756605707,25,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
66.0,-0.09628856182098389,0.0,25,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.0,-0.100388503074646,0.0,25,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
61.9,-0.0805126667022705,0.31622776601683744,25,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
70.3,-0.07722771167755127,0.4830458915396489,25,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.0,-0.06912126541137695,0.0,25,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
61.0,-0.08289313316345215,0.0,25,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
64.0,-0.084228515625,0.0,25,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.0,-0.08304100036621094,0.0,25,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.0,-0.14182493686676026,0.0,25,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
72.6,-0.09787452220916748,3.470510689285432,25,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
64.3,-0.17158935070037842,1.8885620632287068,25,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
57.1,-0.1073843240737915,3.7252889522529364,25,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
70.6,-0.00014035701751708985,3.306559138036598,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
65.5,-0.00015799999237060548,2.5927248643506733,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
58.4,-0.00018362998962402345,2.4129281427805136,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
73.4,-0.04863691329956055,4.623610902506588,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
62.3,-0.01597602367401123,3.3015148038438342,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
54.2,-0.17227962017059326,3.0477678535099897,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
70.0,-2.4568513870239257,0.0,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
68.0,-2.3683417558670046,0.0,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.0,-2.4939852952957153,0.0,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
72.0,-2.4327060699462892,0.0,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.0,-2.559644174575806,0.0,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.0,-2.471561241149902,0.0,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
61.0,-0.473384428024292,0.0,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-0.49786105155944826,0.0,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
59.0,-0.42907302379608153,0.0,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.6,-6.744500613212585,3.2041639575194454,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
69.2,-6.65568699836731,2.7808871486152276,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
58.2,-6.810976886749268,2.1499353995462798,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
70.4,-0.08960902690887451,2.458545188611438,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
65.6,-0.09935548305511474,3.3399933466334266,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
57.2,-0.077697491645813,3.7058512292499444,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
63.9,-0.14374446868896484,4.228212125447087,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
56.9,-0.09168870449066162,2.960855732160326,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
49.5,-0.10231800079345703,2.121320343559643,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
75.0,-0.09628856182098389,0.0,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
71.0,-0.100388503074646,0.0,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.4,-0.0805126667022705,0.9660917830792971,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
72.9,-0.07722771167755127,0.3162277660168401,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
69.0,-0.06912126541137695,0.0,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.9,-0.08289313316345215,0.31622776601683905,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
65.0,-0.084228515625,0.0,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.0,-0.08304100036621094,0.0,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.2,-0.14182493686676026,0.4216370213557843,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.7,-0.09787452220916748,3.653004851412661,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
67.9,-0.17158935070037842,1.9692073983655907,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
59.2,-0.1073843240737915,3.259175083088084,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
72.1,-0.00014035701751708985,2.0248456731316558,35,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
67.0,-0.00015799999237060548,3.2317865716108876,35,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
59.4,-0.00018362998962402345,2.547329756605706,35,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
76.4,-0.04863691329956055,4.7656176001764035,35,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
64.6,-0.01597602367401123,2.756809750418043,35,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
55.3,-0.17227962017059326,2.162817093001112,35,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
71.0,-2.4568513870239257,0.0,35,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
68.0,-2.3683417558670046,0.0,35,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,-2.4939852952957153,0.0,35,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
75.0,-2.4327060699462892,0.0,35,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
72.0,-2.559644174575806,0.0,35,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,-2.471561241149902,0.0,35,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
62.0,-0.473384428024292,0.0,35,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
65.0,-0.49786105155944826,0.0,35,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-0.42907302379608153,0.0,35,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.9,-6.744500613212585,2.330951164939613,35,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
72.5,-6.65568699836731,2.9154759474226495,35,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
60.8,-6.810976886749268,2.3475755815545343,35,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
74.4,-0.08960902690887451,4.033195589934446,35,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
68.3,-0.09935548305511474,1.4181364924121769,35,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
59.0,-0.077697491645813,3.197221015541813,35,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
72.3,-0.14374446868896484,3.917198545446023,35,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
65.2,-0.09168870449066162,3.7653389990514508,35,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
56.7,-0.10231800079345703,3.267686915507326,35,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
75.3,-0.09628856182098389,1.2516655570345716,35,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.3,-0.100388503074646,0.483045891539645,35,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.0,-0.0805126667022705,0.0,35,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
73.8,-0.07722771167755127,0.4216370213557833,35,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.4,-0.06912126541137695,0.5163977794943211,35,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.8,-0.08289313316345215,0.42163702135578357,35,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
65.0,-0.084228515625,1.4142135623730956,35,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.8,-0.08304100036621094,0.6324555320336769,35,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
61.4,-0.14182493686676026,0.516397779494322,35,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.8,-0.09787452220916748,3.910100879630716,35,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
71.2,-0.17158935070037842,1.8135294011647247,35,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
60.3,-0.1073843240737915,2.451756739791105,35,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
