Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
60.0,-0.030048370361328125,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
73.0,-0.030048370361328125,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
76.0,-0.030048370361328125,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
87.0,-0.030048370361328125,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
65.0,-0.033490896224975586,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
84.0,-0.033490896224975586,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
88.0,-0.033490896224975586,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
89.0,-0.033490896224975586,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
60.0,-0.03171277046203613,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
57.0,-0.03171277046203613,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
60.0,-0.03171277046203613,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
65.0,-0.03171277046203613,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
75.0,-0.032088279724121094,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
87.0,-0.032088279724121094,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
90.0,-0.032088279724121094,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
91.0,-0.032088279724121094,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
81.0,-0.03483748435974121,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
88.0,-0.03483748435974121,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
88.0,-0.03483748435974121,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
90.0,-0.03483748435974121,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
60.0,-0.03443479537963867,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
66.0,-0.03443479537963867,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
66.0,-0.03443479537963867,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
69.0,-0.03443479537963867,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
68.0,-0.034577131271362305,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
82.0,-0.034577131271362305,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
88.0,-0.034577131271362305,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
90.0,-0.034577131271362305,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
81.0,-0.034330129623413086,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
87.0,-0.034330129623413086,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
86.0,-0.034330129623413086,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
88.0,-0.034330129623413086,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
41.0,-0.03612565994262695,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
63.0,-0.03612565994262695,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
70.0,-0.03612565994262695,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
70.0,-0.03612565994262695,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
72.0,-0.038083791732788086,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.0,-0.038083791732788086,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.0,-0.038083791732788086,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.0,-0.038083791732788086,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.0,-0.03860783576965332,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
86.0,-0.03860783576965332,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
89.0,-0.03860783576965332,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
90.0,-0.03860783576965332,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
69.0,-0.03382396697998047,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
72.0,-0.03382396697998047,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.0,-0.03382396697998047,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
75.0,-0.03382396697998047,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,-0.033638715744018555,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,-0.033638715744018555,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.0,-0.033638715744018555,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.0,-0.033638715744018555,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
69.0,-0.035182952880859375,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
82.0,-0.035182952880859375,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
86.0,-0.035182952880859375,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
86.0,-0.035182952880859375,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
69.0,-0.04337334632873535,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
72.0,-0.04337334632873535,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.0,-0.04337334632873535,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.0,-0.04337334632873535,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
50.0,-0.0002827644348144531,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
59.0,-0.0002827644348144531,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
69.0,-0.0002827644348144531,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
80.0,-0.0002827644348144531,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
58.0,-0.0003132820129394531,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
59.0,-0.0003132820129394531,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
81.0,-0.0003132820129394531,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
81.0,-0.0003132820129394531,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
40.0,-0.00017452239990234375,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
62.0,-0.00017452239990234375,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
64.0,-0.00017452239990234375,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
66.0,-0.00017452239990234375,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
68.0,-0.3823106288909912,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
83.0,-0.3823106288909912,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
92.0,-0.3823106288909912,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
93.0,-0.3823106288909912,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
76.0,-0.016879796981811523,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
91.0,-0.016879796981811523,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
93.0,-0.016879796981811523,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
93.0,-0.016879796981811523,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
50.0,-0.017461299896240234,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
73.0,-0.017461299896240234,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
74.0,-0.017461299896240234,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
75.0,-0.017461299896240234,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
73.0,-1.784019947052002,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
84.0,-1.784019947052002,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
87.0,-1.784019947052002,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
90.0,-1.784019947052002,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
76.0,-2.1295084953308105,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
87.0,-2.1295084953308105,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
91.0,-2.1295084953308105,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
91.0,-2.1295084953308105,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
62.0,-1.7884533405303955,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
70.0,-1.7884533405303955,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
71.0,-1.7884533405303955,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
72.0,-1.7884533405303955,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
81.0,-0.3511981964111328,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.0,-0.3511981964111328,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
89.0,-0.3511981964111328,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.0,-0.3511981964111328,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,-0.3442511558532715,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
90.0,-0.3442511558532715,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
91.0,-0.3442511558532715,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
92.0,-0.3442511558532715,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
57.0,-0.31776881217956543,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,-0.31776881217956543,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
66.0,-0.31776881217956543,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
67.0,-0.31776881217956543,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
57.0,-0.5942878723144531,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
71.0,-0.5942878723144531,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
79.0,-0.5942878723144531,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.0,-0.5942878723144531,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
75.0,-0.6302595138549805,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
88.0,-0.6302595138549805,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
90.0,-0.6302595138549805,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
91.0,-0.6302595138549805,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
44.0,-0.6471943855285645,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.0,-0.6471943855285645,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
56.0,-0.6471943855285645,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
57.0,-0.6471943855285645,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
44.0,-0.03969693183898926,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
70.0,-0.03969693183898926,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
78.0,-0.03969693183898926,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
81.0,-0.03969693183898926,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
52.0,-0.0434112548828125,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
80.0,-0.0434112548828125,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
87.0,-0.0434112548828125,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
86.0,-0.0434112548828125,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
41.0,-0.04164838790893555,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
52.0,-0.04164838790893555,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
59.0,-0.04164838790893555,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
63.0,-0.04164838790893555,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.0,-0.037325143814086914,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
89.0,-0.037325143814086914,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
88.0,-0.037325143814086914,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
91.0,-0.037325143814086914,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
82.0,-0.047946929931640625,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
88.0,-0.047946929931640625,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
91.0,-0.047946929931640625,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
91.0,-0.047946929931640625,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
54.0,-0.043351173400878906,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
67.0,-0.043351173400878906,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
69.0,-0.043351173400878906,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
69.0,-0.043351173400878906,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
53.0,-0.04234910011291504,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
80.0,-0.04234910011291504,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
88.0,-0.04234910011291504,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
88.0,-0.04234910011291504,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
73.0,-0.03560519218444824,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
91.0,-0.03560519218444824,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
88.0,-0.03560519218444824,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
91.0,-0.03560519218444824,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
57.0,-0.04138946533203125,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
60.0,-0.04138946533203125,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
62.0,-0.04138946533203125,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
63.0,-0.04138946533203125,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
69.0,-0.048547983169555664,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.0,-0.048547983169555664,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.0,-0.048547983169555664,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
92.0,-0.048547983169555664,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,-0.04339337348937988,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
87.0,-0.04339337348937988,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
90.0,-0.04339337348937988,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
92.0,-0.04339337348937988,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
72.0,-0.038219451904296875,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.0,-0.038219451904296875,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.0,-0.038219451904296875,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
75.0,-0.038219451904296875,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
54.0,-0.04537057876586914,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
72.0,-0.04537057876586914,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.0,-0.04537057876586914,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.0,-0.04537057876586914,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.0,-0.044243812561035156,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
83.0,-0.044243812561035156,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
89.0,-0.044243812561035156,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
89.0,-0.044243812561035156,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
26.0,-0.044413089752197266,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
59.0,-0.044413089752197266,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,-0.044413089752197266,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,-0.044413089752197266,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
41.0,-0.0002543926239013672,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
66.0,-0.0002543926239013672,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
68.0,-0.0002543926239013672,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
80.0,-0.0002543926239013672,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
35.0,-0.0006952285766601562,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
53.0,-0.0006952285766601562,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
64.0,-0.0006952285766601562,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
73.0,-0.0006952285766601562,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
35.0,-0.00023865699768066406,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
57.0,-0.00023865699768066406,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
64.0,-0.00023865699768066406,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
68.0,-0.00023865699768066406,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
59.0,-0.09286165237426758,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
85.0,-0.09286165237426758,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
89.0,-0.09286165237426758,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
93.0,-0.09286165237426758,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
73.0,-0.026212453842163086,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
80.0,-0.026212453842163086,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
89.0,-0.026212453842163086,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
